analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.7093132976   0.0991352402638  49.0    63.0    0.0111577857871    0.0086782778344    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              3.67191e-05    0.0204461323693  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0001068192   0.0198266283382  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2              729.0     765.0     59.0             4.0052399315   0.790858182274   96.0    116.0   0.0282107553393    0.0233468320049    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              0.682522878    0.316388628826   8.0     9.0     0.0204556908407    0.0181828363029    
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              0.4131836575   0.223896705031   9.386   11.191  0.0049001769922    0.00410982586443   
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.1609257915   0.223670307482   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.1974551825   0.70734778628    86.0    67.0    0.0236907536395    0.0304090270597    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             61.4818649275  3.11526077264    59.0    66.0    0.955471817972     0.854133897884     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0012050535   0.223668864725   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              2.044556527    0.547826527489   5.1     5.0     0.224729612141     0.229224204384     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              0.96443721475  0.114257198751   6.1     7.3     0.12738613259      0.106445946411     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            0.86121505351    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              3.99964983     0.864797695798   11.0    15.0    0.234671055354     0.172092107259     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.013919895    0.861226163981   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.93727293     0.862054878829   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             115.492655335  8.37197838482    96.0    73.0    1.06002719567      1.3940083669       
atlas_2004_10894     Cat12             22.0      16.6      1.7              3.080588065    1.36179235568    15.2    9.9     0.0557400395847    0.0855806668371    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.61189831     0.861216442326   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             14.739239055   2.9830946679     68.0    54.0    0.144808291171     0.182351181475     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.01855986     0.861230330371   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            0.86121505351    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0442189404   0.0280365050321  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.0438069636   0.0242859311881  3717.0  3549.0  1.07022772438e-06  1.12088939181e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.1257949785   0.081793426649   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.8739092965   0.430109198729   20.0    19.0    0.108426510529     0.114133168978     
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.0824042389519  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              3.529691492    0.451330752713   11.1    10.3    0.251307122302     0.270826122092     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             5.977580975    0.561989668873   17.7    24.6    0.285645080116     0.20552511862      
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            47.2783245355  2.72569835591    1520.0  722.0   0.0281632758104    0.0592911069693    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            0.494424726221   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.013919895    0.861226163981   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             9.169628065    2.35841460749    116.0   119.0   0.0457054147303    0.0445531773841    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           250.4520175    12.3308005402    3986.0  2400.0  0.0577595345243    0.0959289602558    
