analysis             sr                o         b         db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.3656319984   0.0498851132124   49.0    63.0    0.00579225332106   0.00450508591638   
atlas_1605_09318     SR-Gbb-C          5.0       7.6       1.7              0.0215985195   0.0123652729242   5.4     6.9     0.000244346648942  0.000191227812215  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.00017621275  0.00978580074645  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            4.1988141385   0.568199790753    194.0   284.0   0.0168400334106    0.0115034031045    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              0.5236206895   0.191263576356    8.0     9.0     0.0262435530346    0.0233276026974    
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              1.41750091     0.302513474339    9.386   11.191  0.0981652260904    0.0823321251081    
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0825413855   0.110400785313    76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.463749118    0.517636654396    86.0    67.0    0.0304049419162    0.0390272388775    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             23.7289413585  1.35870527329     59.0    66.0    0.364418045937     0.325767647126     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0003975805   0.110393626153    2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              4.3518477285   0.568520860932    5.1     5.0     0.670485003249     0.683894703314     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              0.942002224    0.079155265885    6.1     7.3     0.133145506221     0.111258573692     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.00153085     0.425060256214    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              3.1688595      0.430726045738    11.0    15.0    0.223860798635     0.164164585666     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0153085      0.42508506552     6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  1.45686665     0.426595704824    2.928   2.927   0.258623529402     0.258711887287     
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             63.76095645    4.36667844273     96.0    73.0    0.589579206291     0.77533703841      
atlas_2004_10894     Cat12             22.0      16.6      1.7              1.5391264      0.671929922174    15.2    9.9     0.0287606136602    0.0441577098621    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.60877575     0.425071282751    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             10.02594185    1.72642173835     68.0    54.0    0.105803091163     0.133233522206     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0244936      0.425101604253    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            0.425060256214    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00257270615  0.00979011515702  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.04424917635  0.0169596312165   3717.0  3549.0  4.42167908393e-06  4.63098933642e-06  
atlas_conf_2016_050  SR1               37.0      24.0      3.0              0.193642527    0.0699377779622   26.0    12.9    0.00303632965931   0.00611973419705   
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.680781985    0.230715404586    20.0    19.0    0.065120436074     0.0685478274463    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.0406712465865   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              5.332148283    0.390086473898    11.1    10.3    0.422739321244     0.455573443282     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             8.66168416     0.484673357373    17.7    24.6    0.444453099091     0.319789424956     
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            21.338323969   1.28272986949     1520.0  722.0   0.0126543730152    0.0266407852951    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00087886     0.24402755032     2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0091851      0.425074039341    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             6.35797885     1.37709658743     141.0   120.0   0.0290747549406    0.0341628370552    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           116.17226325   5.88982532468     3986.0  2400.0  0.026721763602     0.0443803957156    
