analysis             sr               o        b        db               s             ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             1.0900129376  0.119882587408   49.0    63.0    0.0182327651888    0.0141810395913    
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.0413119162  0.023787870067   5.4     6.9     0.000425890609273  0.000333305694214  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.000178208   0.0188363275651  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.23344867    0.962213274565   96.0    116.0   0.048493946872     0.0401329215493    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0004020815  0.212495525743   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.212495525743   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0           18.0     18.7     2.7              0.4520262445  0.260281992735   10.4    10.8    0.00241959388602   0.00232997929765   
atlas_1712_02332     3j-1300          405.0    378.0    28.0             5.5857842975  0.914006463761   86.0    67.0    0.0475210894992    0.0609972193572    
atlas_1712_08119     SRI-MLL-30       40.0     38.0     6.0              23.770519531  1.88871716311    19.0    18.0    1.08805386229      1.14850129908      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000804163   0.21249590615    2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.5479904655  0.214892267473   8.4     9.0     0.261377041291     0.243951905205     
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             1.5632215033  0.143901619669   44.0    40.0    0.0301641556146    0.0331805711761    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.818198302055   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              4.54700466    0.822487474859   11.0    15.0    0.290738654657     0.213208346749     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0077409     0.818204160911   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.83911356    0.818990331723   2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-30         453.0    366.0    27.0             111.7931903   8.03759060186    142.0   70.0    0.694447476852     1.40873631019      
atlas_2004_10894     Cat12            22.0     16.6     1.7              3.50575996    1.417334262      15.2    9.9     0.0777191954154    0.119326441446     
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.58029318    0.818198302055   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             23.29654118   3.65881619494    68.0    54.0    0.254354156181     0.320297826302     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.02012634    0.818215878495   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.818198302055   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0015325888  0.0188376088833  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             7.12832e-05   0.0188362264047  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.065803091   0.0777096646888  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              2.797797615   0.413193682316   20.0    19.0    0.1060079988       0.111587367158     
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0782878252372  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.002370168   0.0782899274637  6.3     6.1     0                  0                  
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              0.6681493865  0.0788133071489  11.9    13.0    0.0452853414097    0.0414535048289    
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            45.700035382  2.6155254434     582.0   410.0   0.0711521884103    0.101001399158     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00088881    0.469727658757   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.01857816    0.818214413807   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            24.96620444   3.79363548702    317.0   216.0   0.0591313635372    0.086780751117     
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            164.69517682  9.75001687004    1199.0  833.0   0.12402431122      0.178517586018     
