analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             1.79227778645  0.150673424244   49.0    63.0    0.0315341504223  0.0245265614395  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0131742      0.0186383468649  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0180735442053  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             9.768384544    1.18009347061    96.0    116.0   0.0815940755438  0.0675261314845  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0004009395   0.203892174935   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.203892174935   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.2895493185   0.203892963353   76.0    57.0    0                0                
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.8989901405   0.64474235256    67.0    37.0    0.0274867564523  0.0497733157379  
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              19.048999096   1.65632993515    20.0    17.0    0.816630900117   0.960742235432   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000801879    0.203892569144   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              3.012659403    0.206832667637   8.4     9.0     0.318268312866   0.297050425342   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             1.348307288    0.130746177104   44.0    40.0    0.0257700808534  0.0283470889388  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.785070414738   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              5.31679554     0.790279167148   11.0    15.0    0.365521609625   0.268049180392   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.001543785    0.785070414738   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.884588805    0.785938157716   2.928   2.927   0                0                
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             100.00781453   7.44747832101    130.0   63.0    0.675338077566   1.39355476323    
atlas_2004_10894     Cat12            22.0     16.6     1.7              2.283805185    1.11029908575    15.2    9.9     0.0304549134459  0.046759059028   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.55800257     0.785071932608   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             14.02702836    2.77580641292    68.0    54.0    0.139333909453   0.175457515608   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.016981635    0.785085593307   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.785070414738   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00181255785  0.0180752913107  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0180735442053  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.009236052    0.0745625358838  7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              2.26898636     0.36435031235    20.0    19.0    0.0835725923873  0.0879711498814  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0751182255153  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.0025111465   0.0751205492375  6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.6427057895   0.075747362656   8.3     9.1     0.0624674837041  0.0569758367851  
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            104.392922829  3.87136396955    1520.0  722.0   0.0645025565256  0.135794855843   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.450709353088   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.00617514     0.78507496834    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            24.541818875   3.68238786739    317.0   216.0   0.0583681475472  0.0856606609837  
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            192.562957275  10.3261425895    1199.0  833.0   0.146478801858   0.210838035328   
