analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.4017740153   0.0399210822874   49.0    63.0    0.00686333551732   0.0053381498468    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.00588124617319  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0002445989   0.00570366937735  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             2.220567865    0.3151862449      96.0    116.0   0.0177464835767    0.014686745029     
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              0.310009415    0.111498898707    8.0     9.0     0.01589390264      0.0141279134577    
atlas_1708_07875     sr1-lowmass      10.0     14.0     6.0              0.315474465    0.0792597077246   9.386   11.191  0.0197622570138    0.0165747962051    
atlas_1709_04183     SRA-T0           18.0     18.7     2.7              0.182758295    0.0909866795053   10.4    10.8    0.00322501352032   0.00310556857512   
atlas_1712_02332     3j-1300          405.0    378.0    28.0             3.03391365     0.369584072004    86.0    67.0    0.0282301833943    0.0362357577897    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             20.7428428375  0.969365478882    59.0    66.0    0.324628533087     0.290198234123     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0003941975   0.0643372980759   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              1.6512933275   0.0692103188369   8.4     9.0     0.183070048168     0.17086537829      
atlas_1807_07447     MET2m1j          17.0     16.0     5.0              0.4263070538   0.0373361222925   13.0    13.0    0.0280827548646    0.0280827548646    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.247725427691    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              3.3210011      0.25769416413     11.0    15.0    0.263489333712     0.193225511388     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.00303565     0.247730077539    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.78545165     0.249583069157    2.928   2.927   0.128461549379     0.128505437849     
atlas_1911_12606     S-inc-20         328.0    312.0    24.0             33.71149895    2.4211268914      69.0    59.0    0.431026823886     0.504082217765     
atlas_2004_10894     Cat12            22.0     16.6     1.7              1.089419625    0.429329600347    15.2    9.9     0.025349939502     0.0389211192354    
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.35336565     0.247730077539    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             13.928433675   1.55703988732     68.0    54.0    0.167277768526     0.210646078885     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.022767375    0.247790517621    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.247725427691    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0019567912   0.0057089117166   20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.0216681811   0.00902126307589  3717.0  3549.0  1.84915514004e-06  1.93668911117e-06  
atlas_conf_2016_050  SR1              37.0     24.0     3.0              0.0656027465   0.028844245612    26.0    12.9    0.000703776296012  0.00141846385243   
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.90228334     0.187459042054    20.0    19.0    0.0797425255516    0.0839395005806    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0237032002088   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              1.052090922    0.130929550971    11.1    10.3    0.0754384196764    0.0812977144086    
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             1.595417027    0.133341488288    17.7    24.6    0.0777817506332    0.0559649181385    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            30.464486775   1.17235113824     1520.0  722.0   0.0187775203344    0.0395316217566    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.14221920107     2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0121426      0.247757974794    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            9.3688642      1.2752879562      317.0   216.0   0.0229570724033    0.0336916294067    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            58.9956196     3.20610157266     1199.0  833.0   0.0448186930949    0.064510940001     
