analysis             sr                 o          b          db               s              ds                s95obs    s95exp    robscons           rexpcons           
atlas_1604_01306     SR1                264.0      295.0      34.0             0.4017740153   0.0399210822874   49.0      63.0      0.00686333551732   0.0053381498468    
atlas_1605_09318     SR-Gbb-A           0.0        1.3        0.4              0.0            0.00588124617319  2.9       3.9       0                  0                  
atlas_1605_09318     SR-Gbb-B           0.0        1.5        0.6              0.0            0.00588124617319  3.0       3.8       0                  0                  
atlas_1605_09318     SR-Gbb-C           5.0        7.6        1.7              0.0041974947   0.00588124617319  5.4       6.9       0                  0                  
atlas_1605_09318     SR-Gtt-0L-A        1.0        2.1        0.5              0.0            0.00588124617319  3.5       4.4       0                  0                  
atlas_1605_09318     SR-Gtt-0L-B        1.0        2.9        1.8              3.60347e-05    0.00588124617319  3.6       4.6       0                  0                  
atlas_1605_09318     SR-Gtt-0L-C        1.0        3.4        1.8              3.60347e-05    0.00588124617319  3.4       5.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-A        2.0        1.2        0.6              0.0004684511   0.00588257074287  4.7       4.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-B        0.0        1.2        0.8              0.0004684511   0.00588257074287  2.9       3.5       0                  0                  
atlas_1609_01599     2muSS              9.0        5.5        1.6              3.49427e-05    0.0057030271271   10.4      7.4       0                  0                  
atlas_1609_01599     3lZ1b4j            7.0        11.0       2.8              0.0002445989   0.00570366937735  6.0       8.7       0                  0                  
atlas_1609_01599     3lZ2b3j            4.0        2.8        0.5              6.98854e-05    0.00570313417383  6.3       5.1       0                  0                  
atlas_1609_01599     3lZ2b4j            8.0        7.2        0.9              0.0001048281   0.00570324121855  7.9       6.9       0                  0                  
atlas_1609_01599     3lnoZ2b            10.0       7.7        2.2              0.0008386248   0.00570548869379  10.2      8.3       0                  0                  
atlas_1609_01599     4lDF1b             2.0        1.1        0.1              0.0001048281   0.00570324121855  4.7       3.9       0                  0                  
atlas_1609_01599     4lDF2b             0.9        1.0        0.1              0.0            0.0057030271271   3.0       3.0       0                  0                  
atlas_1609_01599     4lSF1b             1.0        1.1        0.1              0.0004193124   0.00570420453065  3.6       4.0       0                  0                  
atlas_1609_01599     4lSF2b             1.0        0.9        0.1              0.0            0.0057030271271   3.6       3.0       0                  0                  
atlas_1704_03848     SRE1               1671.0     1900.0     140.0            2.445033535    0.331214779917    150.0     236.0     0.0126789419729    0.00805864955905   
atlas_1704_03848     SRE2               493.0      501.0      44.0             1.293499175    0.240739745435    86.0      90.0      0.0104498371219    0.00998539991653   
atlas_1704_03848     SRI1               2400.0     2600.0     160.0            4.6656014      0.457215047226    194.0     284.0     0.0201843748585    0.0137879180371    
atlas_1704_03848     SRI2               729.0      765.0      59.0             2.220567865    0.3151862449      96.0      116.0     0.0177464835767    0.014686745029     
atlas_1704_03848     SRI3               236.0      273.0      37.0             0.92706869     0.203437321902    47.0      64.0      0.0126262017464    0.00927236690752   
atlas_1706_03731     Rpc2L0bH           3.0        2.4        1.0              0.0474320875   0.0643421284259   5.6       5.1       0                  0                  
atlas_1706_03731     Rpc2L0bS           7.0        6.0        1.8              0.145118395    0.0787988753851   8.3       7.3       0.00191424570704   0.00217647114636   
atlas_1706_03731     Rpc2L1bH           13.0       9.8        2.6              0.00315358     0.0643457509505   11.9      9.6       0                  0                  
atlas_1706_03731     Rpc2L1bS           14.0       9.8        2.9              0.0027593825   0.064344543465    13.5      9.9       0                  0                  
atlas_1706_03731     Rpc2L2bH           0.0        1.08       0.32             0.0003941975   0.0643372980759   3.02      3.6       0                  0                  
atlas_1706_03731     Rpc2L2bS           3.0        3.3        1.0              0.0003941975   0.0643372980759   5.1       5.4       0                  0                  
atlas_1706_03731     Rpc2Lsoft1b        4.0        5.8        2.5              0.000788395    0.0643385056974   5.6       6.6       0                  0                  
atlas_1706_03731     Rpc2Lsoft2b        5.0        3.8        1.6              0.0            0.0643372980759   7.2       6.2       0                  0                  
atlas_1706_03731     Rpc3L0bH           3.0        3.3        0.8              0.010249135    0.0643674818167   5.2       5.5       0                  0                  
atlas_1706_03731     Rpc3L0bS           9.0        11.0       3.0              0.310009415    0.111498898707    8.0       9.0       0.01589390264      0.0141279134577    
atlas_1706_03731     Rpc3L1bH           4.0        3.9        0.9              0.0035477775   0.0643469584134   5.7       5.7       0                  0                  
atlas_1706_03731     Rpc3L1bS           20.0       17.0       4.0              0.0098549375   0.0643662747389   14.0      12.0      0                  0                  
atlas_1706_03731     Rpc3LSS1b          1.0        1.6        0.8              0.00157679     0.0643409208724   3.8       4.2       0                  0                  
atlas_1706_03731     Rpv2L0b            2.0        1.0        0.4              0.0003941975   0.0643372980759   4.8       4.1       0                  0                  
