analysis             sr               o        b       db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.6360407705   0.0390664328498   49.0    63.0    0.0116728942985    0.00907891778772   
atlas_1605_09318     SR-Gbb-C         5.0      7.6     1.7              0.00758043645  0.00435602120273  5.4     6.9     8.08447550972e-05  6.3269808337e-05   
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              3.477475e-05   0.00345172181592  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             3.8992283025   0.324749327292    96.0    116.0   0.0350691604765    0.0290227534978    
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0            0.0389397365707   5.6     5.1     0                  0                  
atlas_1708_07875     sr1-lowmass      10.0     14.0    6.0              0.137305875    0.0396234100119   9.386   11.191  0.00770546373114   0.00646264700031   
atlas_1709_04183     SRA-T0           18.0     18.7    2.7              0.0838422575   0.0477318209095   10.4    10.8    0.00053481453927   0.000515006593372  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             2.0846752175   0.2386042989      67.0    37.0    0.0252740920493    0.0457665991163    
atlas_1712_08119     SRI-MLL-10       12.0     8.9     2.5              0.7179537125   0.140420765497    11.4    9.3     0.0427775137793    0.0524369523747    
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0            0.0389397365707   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              1.897959495    0.0475470655007   8.4     9.0     0.216664560426     0.202220256398     
atlas_1807_07447     MET2j            6771.0   6770.0  1800.0           19.3655654348  0.216713573821    2712.0  2723.0  0.0070096442381    0.00698132764368   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.107779025    0.149934125065    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3    3.0              4.70377485     0.171997469977    14.1    14.4    0.313595673705     0.307062430503     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0            0.149934125065    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.5135785      0.152491748423    2.928   2.927   0.0899904482879    0.090021193231     
atlas_1911_12606     E-high-mm-05     0.0      3.9     1.3              0.84811        0.299856836472    2.9     5.1     0.122877513168     0.0698715270954    
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.359080175    0.183936292725    15.2    9.9     0.0037779378244    0.00580047019504   
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.1123106      0.14995695021     66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             2.177147475    0.473747269578    68.0    54.0    0.0205912051896    0.0259296657943    
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.001510525    0.149934125065    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0            0.149934125065    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.0010432425   0.00345679804275  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0            0.00345172181592  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.012049464    0.014298171982    7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.238246774    0.0504885859703   20.0    19.0    0.00777227465043   0.0081813417373    
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0            0.0143461982286   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.0247150575   0.0144694382413   11.1    10.3    8.8754845433e-05   9.56484256608e-05  
atlas_conf_2016_096  2LCSF            9.0      10.2    3.3              0.6820488675   0.0174462242881   8.3     9.1     0.0787273565864    0.0718062702931    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            31.236971595   0.923954168476    692.0   350.0   0.0429504143912    0.0849191050249    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0            0.0860771890321   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0            0.149934125065    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            18.58175835    1.39799594041     317.0   216.0   0.0513850000244    0.0754122454062    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            54.0246151     2.3870686224      594.0   381.0   0.0843599706385    0.131521843988     
