analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0   295.0   34.0             0.4195252162  0.0250251430392   49.0    63.0    0.00772416289012   0.00600768224787   
atlas_1605_09318     SR-Gbb-C         5.0     7.6     1.7              0.0079352199  0.00351724524823  5.4     6.9     0.000401284757944  0.000314048940999  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.00215752926673  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0   765.0   59.0             2.895587014   0.221103034202    96.0    116.0   0.0263851878949    0.0218360175682    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.0243396576403   5.6     5.1     0                  0                  
atlas_1708_07875     sr1-lowmass      10.0    14.0    6.0              0.094674258   0.025082918494    9.386   11.191  0.00570405621883   0.00478404715127   
atlas_1709_04183     SRB-T0           206.0   179.0   26.0             0.052451062   0.0344368935023   76.0    57.0    0                  0                  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             1.687071676   0.169497151611    67.0    37.0    0.0210312887665    0.0380836850637    
atlas_1712_08119     SRI-MLL-10       12.0    8.9     2.5              0.225192124   0.0620297442703   11.4    9.3     0.0108301178418    0.0132756283222    
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.000389606   0.0243396576403   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0     9.8     2.9              1.3441407     0.0334058740759   8.4     9.0     0.153494650776     0.143261674057     
atlas_1807_07447     MET1g1j          106.0   103.0   21.0             0.2611483716  0.019721415565    44.0    40.0    0.00520011931985   0.00572013125184   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.0937178356319   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0    37.3    3.0              3.7503625     0.120028620891    14.1    14.4    0.252022380265     0.24677191401      
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.0937178356319   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.379536685   0.0966961340531   2.928   2.927   0.0754627818145    0.0754885634277    
atlas_1911_12606     E-inc-20         383.0   301.0   23.0             2.006944885   0.362896238921    130.0   63.0    0.0108599619475    0.0224094452884    
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.07232008    0.0937538480308   21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.132639      0.114809881089    66.0    57.0    0                  0                  
atlas_2101_01629     2J_disc_squark   106.0   86.0    12.0             1.028581835   0.256770874379    46.0    31.0    0.0132060348048    0.0195960516458    
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.0937178356319   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.0937178356319   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.001036071   0.00216553024903  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             3.45357e-05   0.00215752926673  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.01054204    0.00898264779691  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.217699705   0.0380211837886   20.0    19.0    0.00776724817933   0.00817605071509   
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.00896723111429  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.029712573   0.00920084471276  11.1    10.3    0.00131740429469   0.00141972695836   
atlas_conf_2016_096  2LCSF            9.0     10.2    3.3              0.580920917   0.0127619049844   8.3     9.1     0.0674688425091    0.0615375156951    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            21.413689376  0.60408737895     692.0   350.0   0.0295129856568    0.0583513887843    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.0538034574666   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.0937178356319   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            12.3768621    0.901241816611    317.0   216.0   0.0343811530623    0.0504575255591    
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             19.971125015  1.14578267295     310.0   197.0   0.0583614239722    0.0918377737633    
