analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             3.9944258014   0.849392315821  49.0     63.0     0.0530902531317  0.0412924191024  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.26410934027   2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.00024988565  0.256105966824  6.0      8.7      0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            49.1388055725  10.0084704796   194.0    284.0    0.168685123639   0.115228570373   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00322174     2.88919616283   5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.88919596636   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.000805435    2.88919599443   76.0     57.0     0                0                
atlas_1712_02332     6j-1200          250.0     249.0     30.0             2.0510220675   2.8891965277    62.0     64.0     0                0                
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             124.75931808   15.9564707819   59.0     66.0     1.67102891522    1.49379857572    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0028190225   2.88919613476   2.97     2.9      0                0                
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              10.5096414925  4.56841397915   5.1      5.0      0.591655405233   0.603488513338   
atlas_1807_07447     MET2m1j          17.0      16.0      5.0              8.6630073215   1.24536524988   13.0     13.0     0.509277562439   0.509277562439   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            11.1246284697   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.18762623     11.124641438    17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.01705693     11.1246295504   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  1.07923848     11.1247035774   2.928    2.927    0                0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             370.04793923   53.9270590986   96.0     73.0     2.93341210738    3.85763783984    
atlas_2004_10894     Cat9             71.0      69.0      4.0              7.87095126     11.1246285778   21.0     19.0     0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00155063     11.1246284697   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             23.74310922    13.6239449047   68.0     54.0     0.0205858761221  0.0259229551167  
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.0155063      11.1246294423   10.4     11.1     0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            11.1246284697   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.183914336    0.256106148442  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.256105951896  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.013105606    1.05643614274   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              3.374840347    1.67512124483   20.0     19.0     0.0313820752737  0.033033763446   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.0644396883    6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              14.3476631315  3.28079065259   11.1     10.3     0.807852834347   0.870598685558   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             66.0439437745  7.02035709231   17.7     24.6     3.08082249396    2.21668935541    
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            157.828216118  17.9274105226   1355.0   1235.0   0.0947802677937  0.103989686527   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            6.38664520229   2.87     2.94     0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00775315     11.124628902    21.0     18.0     0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            31.60320481    15.7341568766   317.0    216.0    0.0182939669791  0.0268480904277  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           3087.96391463  155.746384413   20140.0  13460.0  0.140642494746   0.210441296002   
