analysis             sr                 o          b          db               s              ds               s95obs    s95exp    robscons           rexpcons           
atlas_1604_01306     SR1                264.0      295.0      34.0             1.3373035333   0.290150143461   49.0      63.0      0.0175807611841    0.0136739253654    
atlas_1605_09318     SR-Gbb-A           0.0        1.3        0.4              3.69661e-05    0.0923244886189  2.9       3.9       0                  0                  
atlas_1605_09318     SR-Gbb-B           0.0        1.5        0.6              7.39322e-05    0.0923244960194  3.0       3.8       0                  0                  
atlas_1605_09318     SR-Gbb-C           5.0        7.6        1.7              0.0002957288   0.0923245404223  5.4       6.9       0                  0                  
atlas_1605_09318     SR-Gtt-0L-A        1.0        2.1        0.5              0.0            0.0923244886189  3.5       4.4       0                  0                  
atlas_1605_09318     SR-Gtt-0L-B        1.0        2.9        1.8              3.69661e-05    0.0923244886189  3.6       4.6       0                  0                  
atlas_1605_09318     SR-Gtt-0L-C        1.0        3.4        1.8              3.69661e-05    0.0923244886189  3.4       5.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-A        2.0        1.2        0.6              0.0006653898   0.0923246144271  4.7       4.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-B        0.0        1.2        0.8              0.0009980847   0.0923246810314  2.9       3.5       0                  0                  
atlas_1609_01599     2muSS              9.0        5.5        1.6              0.00017922975  0.0895268485716  10.4      7.4       0                  0                  
atlas_1609_01599     3lZ1b4j            7.0        11.0       2.8              0.00032261355  0.0895268772765  6.0       8.7       0                  0                  
atlas_1609_01599     3lZ2b3j            4.0        2.8        0.5              3.584595e-05   0.0895268198666  6.3       5.1       0                  0                  
atlas_1609_01599     3lZ2b4j            8.0        7.2        0.9              3.584595e-05   0.0895268198666  7.9       6.9       0                  0                  
atlas_1609_01599     3lnoZ2b            10.0       7.7        2.2              0.1922546408   0.109674145889   10.2      8.3       0.00121461191594   0.00149265560754   
atlas_1609_01599     4lDF1b             2.0        1.1        0.1              0.0002150757   0.0895268557478  4.7       3.9       0                  0                  
atlas_1609_01599     4lDF2b             0.9        1.0        0.1              0.0            0.0895268198666  3.0       3.0       0                  0                  
atlas_1609_01599     4lSF1b             1.0        1.1        0.1              0.0006452271   0.0895269418627  3.6       4.0       0                  0                  
atlas_1609_01599     4lSF2b             1.0        0.9        0.1              0.0            0.0895268198666  3.6       3.0       0                  0                  
atlas_1704_03848     SRE1               1671.0     1900.0     140.0            11.459369542   2.85817220659    150.0     236.0     0.045146447488     0.0286947759458    
atlas_1704_03848     SRE2               493.0      501.0      44.0             2.171085864    1.23667199692    86.0      90.0      0.00166213708191   0.00158826432271   
atlas_1704_03848     SRI1               2400.0     2600.0     160.0            17.227030561   3.49970170231    194.0     284.0     0.0592140194289    0.0404490132719    
atlas_1704_03848     SRI2               729.0      765.0      59.0             5.767661019    2.01959492044    96.0      116.0     0.0255783890571    0.0211683219783    
atlas_1704_03848     SRI3               236.0      273.0      37.0             3.596575155    1.59668594742    47.0      64.0      0.0208087276859    0.0152814093943    
atlas_1706_03731     Rpc2L0bH           3.0        2.4        1.0              0.004852644    1.00997598672    5.6       5.1       0                  0                  
atlas_1706_03731     Rpc2L0bS           7.0        6.0        1.8              2.154505997    1.23666928614    8.3       7.3       0.0152251045449    0.0173107353044    
atlas_1706_03731     Rpc2L1bH           13.0       9.8        2.6              0.003639483    1.00997574385    11.9      9.6       0                  0                  
atlas_1706_03731     Rpc2L1bS           14.0       9.8        2.9              0.002426322    1.00997550098    13.5      9.9       0                  0                  
atlas_1706_03731     Rpc2L2bH           0.0        1.08       0.32             0.0            1.00997509619    3.02      3.6       0                  0                  
atlas_1706_03731     Rpc2L2bS           3.0        3.3        1.0              0.0            1.00997509619    5.1       5.4       0                  0                  
atlas_1706_03731     Rpc2Lsoft1b        4.0        5.8        2.5              0.000404387    1.00997509619    5.6       6.6       0                  0                  
atlas_1706_03731     Rpc2Lsoft2b        5.0        3.8        1.6              0.0            1.00997509619    7.2       6.2       0                  0                  
atlas_1706_03731     Rpc3L0bH           3.0        3.3        0.8              0.027902703    1.00998060124    5.2       5.5       0                  0                  
atlas_1706_03731     Rpc3L0bS           9.0        11.0       3.0              1.505557917    1.00999047788    8.0       9.0       0                  0                  
atlas_1706_03731     Rpc3L1bH           4.0        3.9        0.9              0.006470192    1.00997631054    5.7       5.7       0                  0                  
atlas_1706_03731     Rpc3L1bS           20.0       17.0       4.0              0.731654254    1.00997841542    14.0      12.0      0                  0                  
atlas_1706_03731     Rpc3LSS1b          1.0        1.6        0.8              0.007683353    1.00997655342    3.8       4.2       0                  0                  
atlas_1706_03731     Rpv2L0b            2.0        1.0        0.4              0.001213161    1.00997525811    4.8       4.1       0                  0                  
atlas_1706_03731     Rpv2L1bH           2.0        1.6        0.4              0.000404387    1.00997509619    4.4       4.0       0                  0                  
atlas_1706_03731     Rpv2L1bM           9.0        4.8        1.6              0.002021935    1.00997542002    11.2      7.3       0                  0                  
atlas_1706_03731     Rpv2L1bS           26.0       25.0       7.0              0.00808774     1.00997663437    17.0      16.0      0                  0                  
atlas_1706_03731     Rpv2L2bH           1.0        1.6        0.5              0.0            1.00997509619    3.7       4.0       0                  0                  
atlas_1706_03731     Rpv2L2bS           20.0       19.0       7.0              0.00404387     1.0099758248     16.0      15.0      0                  0                  
atlas_1708_07875     sr1-lowmass        10.0       14.0       6.0              3.902502953    1.59718070419    9.386     11.191    0.136706434917     0.114657009931     
atlas_1708_07875     sr2-highmass       5.0        3.7        1.4              0.0            1.00997509619    7.22      6.137     0                  0                  
