analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             5.95026512265  1.03452519072   49.0     63.0     0.0868090573441   0.0675181557121   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.262630654375  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              2.255695e-05   0.254672160454  6.0      8.7      0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            69.1506513845  11.8457651261   194.0    284.0    0.256307198854    0.175083086541    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0007634115   2.87301987785   5.6      5.1      0                 0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.87301985531   7.22     6.137    0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.000508941    2.87301986658   76.0     57.0     0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             8.1265428215   4.06034790653   86.0     67.0     0.0170647936603   0.0219040635043   
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              69.1040049395  11.8504196011   11.4     9.3      4.35695761349     5.34078675201     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0012723525   2.87301990039   2.97     2.9      0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             4.864967019    2.87323528707   61.0     48.0     0.00250592046249  0.00318460725442  
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             11.3869043232  1.43365856492   44.0     40.0     0.20535691538     0.225892606918    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.0623419532   5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.24397518     11.0623527146   17.0     19.0     0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00685874     11.0623422136   6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.0342937      11.0623434286   2.928    2.927    0                 0                 
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             625.77543316   69.9597201079   130.0    63.0     3.93108840141     8.11176971719     
atlas_2004_10894     Cat12             22.0      16.6      1.7              46.96126722    19.1434676497   15.2     9.9      1.02407764964     1.57232123986     
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00195964     11.0623419966   66.0     57.0     0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             47.02690668    19.1690705743   68.0     54.0     0.229259278502    0.288696869224    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.02645514     11.0623430814   10.4     11.1     0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.0623419532   13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0013985309   0.25467222139   20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.254672160454  115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.007257705    1.05052505517   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              5.844190578    2.2048368233    20.0     19.0     0.11141290939     0.117276746726    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.05848323179   6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.0012187825   1.05848328162   6.3      6.1      0                 0                 
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              0.6441734275   1.05851175528   8.3      9.1      0                 0                 
atlas_conf_2017_060  EM5               8583.0    8360.0    190.0            180.850614274  19.1639941897   582.0    410.0    0.256738253957    0.364443082446    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            6.35088524864   2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.01371748     11.0623425173   21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            39.10961838    17.48642459     186.0    213.0    0.0560853873788   0.0489759720773   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           6681.0216687   228.57697676    20140.0  13460.0  0.313115959623    0.468510804369    
