analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             5.5362205801   0.646706027242  49.0    63.0    0.0913392386821   0.0710416300861   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.110386090892  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.107040768562  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0     765.0     59.0             32.5131508385  5.26374046079   96.0    116.0   0.248756421696    0.205867383473    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0            1.20755812285   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            1.20755812285   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.855066122    1.20755820301   76.0    57.0    0                 0                 
atlas_1712_02332     2j-1600           204.0     216.0     18.0             14.523324793   3.52082206643   38.0    43.0    0.23024148958     0.20346922335     
atlas_1712_08119     SRI-MLL-60        52.0      43.0      7.0              0.000508061    1.20755814957   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.000508061    1.20755814957   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              4.1152941      1.20799087983   8.4     9.0     0.254070125843    0.237132117454    
atlas_1807_07447     MET1j             18952.0   18500.0   3200.0           490.62023616   6.10249059943   5551.0  5525.0  0.0865811838546   0.0869886247198   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            4.64959498563   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100   147.0     144.0     12.0             9.529871875    4.65059716376   36.0    33.0    0.0528581257342   0.0576634098919   
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0            4.64959498563   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.02934375     4.64959796923   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             9.867485625    5.69417240808   130.0   63.0    0.00406956058271  0.00839750596432  
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.000978125    4.64959498563   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.000978125    4.64959498563   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             9.885091875    5.69417392025   68.0    54.0    0.00803892126167  0.0101230860332   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.000978125    4.64959498563   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            4.64959498563   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00069805645  0.107040839618  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.107040768562  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.010589061    0.441545114115  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.053867238    0.606286243796  20.0    19.0    0.00297788990876  0.00313462095659  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.44488933242   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.00177821     0.444889509614  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              1.01423483     0.444995990521  8.3     9.1     0.0342700488609   0.0312572973127   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            382.740797766  18.0730593588   1520.0  722.0   0.23230327659     0.489059529664    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            2.66933528756   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.000978125    4.64959498563   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0     608.0     30.0             42.7611275     11.8543783091   99.0    76.0    0.235555020941    0.306841408857    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           2150.8050075   84.0800347759   3986.0  2400.0  0.504995923349    0.838714062695    
