analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             3.90248416495  0.31578217955    49.0    63.0    0.0690734977651   0.0537238315951    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0373541251776  2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0362221530651  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             24.6169754845  2.66396783127    96.0    116.0   0.210917377513    0.174552312424     
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.408631079183   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.408631079183   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.578397603    0.408631157536   76.0    57.0    0                 0                  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             10.122492354   1.70947433351    67.0    37.0    0.109238126075    0.19780957965      
atlas_1712_08119     SRI-MT2-120      215.0    232.0    29.0             0.875409751    0.500452855264   47.0    58.0    0.0011631291142   0.000942535661509  
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0007591545   0.408631235889   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              3.87168795     0.409828050873   8.4     9.0     0.380901184115    0.355507771841     
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           236.764763705  2.46572387627    5551.0  5525.0  0.0419241535846   0.0421214437191    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            1.5733977518     5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              7.9702239      1.57586337083    14.1    14.4    0.381972196585    0.374014442489     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            1.5733977518     6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0389742      1.5734095178     2.928   2.927   0                 0                  
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             4.462906615    2.22512278623    130.0   63.0    0.00625927111993  0.0129159562792    
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.000974355    1.5733977518     21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0            1.5733977518     66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             4.462906615    2.22512278623    68.0    54.0    0.0119662536116   0.0150686156591    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            1.5733977518     10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            1.5733977518     13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00105426405  0.0362224725532  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             2.243115e-05   0.0362221530651  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0106407775   0.149419554609   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.000622464    0.167527578751   5.0     5.6     0                 0                  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.150548013208   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.001491672    0.150548446212   6.3     6.1     0                 0                  
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              1.0047343215   0.15085876331    8.3     9.1     0.0912440903219   0.083222631832     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            275.551561646  8.92000118969    1520.0  722.0   0.171659710326    0.361388863844     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.903290200337   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            1.5733977518     21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0    22.0             23.38018968    5.09857523419    85.0    58.0    0.176688544658    0.258940108551     
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            512.06325424   23.8619944955    1199.0  833.0   0.394436683292    0.56774259696      
