analysis             sr                o        b        db               s             ds                s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.53912239    0.0574977541604   49.0    63.0    0.00907808312606  0.00706073132027   
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.031818481   0.0142090216804   5.4     6.9     0.00157697878594  0.00123415731074   
atlas_1609_01599     3lnoZ2b           10.0     7.7      2.2              0.02653206    0.012326314026    10.2    8.3     0.00061930441151  0.000761072891254  
atlas_1704_03848     SRI2              729.0    765.0    59.0             2.7977417785  0.439847610525    96.0    116.0   0.0216290801796   0.0178999284245    
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              0.9696587005  0.250803458912    8.0     9.0     0.0697926284856   0.0620378919872    
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.0983458177008   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.210275217   0.139128150876    76.0    57.0    0                 0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             3.976926714   0.52501843321     86.0    67.0    0.0362313544597   0.0465059176647    
atlas_1712_08119     SRM-MT2-999       13.0     11.0     1.4              3.9685820205  0.52501642364     10.0    8.0     0.310755508573    0.388444385716     
atlas_1802_03158     SRaaWL            6.0      3.7      1.1              0.3528782595  0.155441475417    8.1     6.2     0.0120931160268   0.0157990709382    
atlas_1803_02762     S-3l-slep-a       4.0      2.2      0.8              5.772248964   0.625879997141    6.8     5.1     0.697912613042    0.930550150723     
atlas_1807_07447     MET2m2j           6.0      7.2      1.7              1.0101525338  0.0777279472236   6.1     7.3     0.144701426287    0.120914890459     
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.535523      0.378673276928    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-1J-INC160   29.0     36.0     5.0              3.07186575    0.382600868729    11.0    15.0    0.222218211389    0.162960021686     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.01849935    0.37869580742     6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.03991965    0.378723342867    2.928   2.927   0                 0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             71.6717022    4.37505598875     96.0    73.0    0.671839691442    0.883515210664     
atlas_2004_10894     Cat12             22.0     16.6     1.7              2.70070695    0.846969959472    15.2    9.9     0.0862944879254   0.132492547118     
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.54074025    0.463882466507    66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             13.4119939    1.8931692012      68.0    54.0    0.151576417795    0.190874007593     
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0214203     0.378699562371    10.4    11.1    0                 0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.378673276928    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.001725955   0.00871985712391  20.0    10.2    0                 0                  
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.088756265   0.0230573589476   3717.0  3549.0  1.3705191371e-05  1.43539578264e-05  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.187870784   0.0672759282223   7.2     7.3     0.010769203016    0.010621679687     
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.744058436   0.222667877155    20.0    19.0    0.0689441558733   0.0725727956561    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0362327739109   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              7.1765423125  0.427950398249    11.1    10.3    0.583306635979    0.628612005764     
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             10.9332201    0.517519318613    17.7    24.6    0.569745108332    0.409938553556     
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            21.083348001  1.20859179254     1520.0  722.0   0.0125666167508   0.0264560352649    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.001676925   0.217397939105    2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-ISR            30.0     23.0     2.2              0.8070046     0.463679951272    18.0    12.0    0.00258719332858  0.00388078999287   
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0   1250.0   50.0             6.96506895    1.36539088768     141.0   120.0   0.033516509888    0.0393818991184    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            40.03351805   3.26876639542     1199.0  833.0   0.0289180493424   0.0416239389694    
