analysis             sr                o        b        db               s              ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             0.9047765863   0.0686132491023   49.0    63.0    0.0161683848525   0.0125754104408   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.00762992904745  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              2.23203e-05    0.00739870407881  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             5.51652661     0.569171130404    96.0    116.0   0.0477404787098   0.0395093616908   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.0834665574601   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.0834665574601   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.236339801    0.118044268877    76.0    57.0    0.00056246315844  0.00074995087792  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             3.960676525    0.4831062328      86.0    67.0    0.0368416546885   0.0472892881076   
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              4.076369316    0.490253221537    11.4    9.3     0.287048599358    0.351866025019    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.0834665574601   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              2.463872785    0.0871034353033   8.4     9.0     0.276312279893    0.257891461234    
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             0.78012067765  0.0638445366423   44.0    40.0    0.015350355399    0.0168853909389   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            0.321381495624    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              4.93204998     0.328735372997    14.1    14.4    0.311554891368    0.305064164464    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.00096954     0.321381495624    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0193908      0.321409280946    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-10      9.0      11.0     2.0              7.73246924     1.3251120184      7.0     8.0     0.794183647117    0.694910691227    
atlas_2004_10894     Cat12             22.0     16.6     1.7              1.39844144     0.556692454096    15.2    9.9     0.0319385404791   0.0490369510387   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.45550754     0.393620710953    66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             6.3871245      1.20248220249     46.0    31.0    0.0959794279982   0.142421086707    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.00581724     0.321388807784    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.321381495624    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0012499368   0.00740055557471  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.00739870407881  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.009115029    0.0305332879192   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.506773016    0.190523088483    20.0    19.0    0.0597157575444   0.062858692152    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.0307509058056   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.002411981    0.0307544038754   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.6461326025   0.0317104139709   8.3     9.1     0.0715816293479   0.0652887388558   
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            69.905029172   2.0291112897      1520.0  722.0   0.0438008464848   0.092212308389    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            0.184505505547    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.01260402     0.321399044528    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             8.19748218     1.36350586472     99.0    76.0    0.0602154804228   0.0784385863402   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            110.88228072   5.01499857971     1199.0  833.0   0.0856194187233   0.123238515065    
