analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.1711602696   0.0772943288795   49.0    63.0    0.0213142361273   0.0165777392101   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0074818264176   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.00725509154892  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             7.3299160895   0.649659962495    96.0    116.0   0.0652549349063   0.0540040840604   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.0818465854831   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0818465854831   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.001513413    0.0818485288138   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             3.7696388005   0.466598403038    67.0    37.0    0.0448420510376   0.0812004707978   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              0.5795157065   0.18302018944     11.4    9.3     0.0245054908612   0.0300389887976   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000504471    0.081846974153    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.6784887745   0.0858743843517   8.4     9.0     0.302101760019    0.281961642685    
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.6303096857   0.0568406530856   44.0    40.0    0.0122066139691   0.013427275366    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.315143790523    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              6.17301076     0.324514953795    14.1    14.4    0.400057179842    0.391722655262    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.315143790523    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.02233783     0.315176712623    2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             4.90918747     1.04519601976     130.0   63.0    0.0245774307508   0.0507153332953   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            0.315143790523    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00194242     0.315145287057    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             2.25065583     0.704671426238    68.0    54.0    0.0161028631025   0.0202776794624   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.315143790523    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.315143790523    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0007154832   0.00725615951083  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             2.235885e-05   0.00725509154892  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.009223       0.0299413719838   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.3130735275   0.0855431585487   20.0    19.0    0.00863913737401  0.00909382881475  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0301540405512   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.002137367    0.0301571906706   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.817682271    0.0313885954054   8.3     9.1     0.0923138523536   0.08419834885     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            101.154569517  2.41757814187     1520.0  722.0   0.0639406193186   0.134611830145    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.000557575    0.180924031191    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            0.315143790523    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            28.34395395    2.51124954733     317.0   216.0   0.0764211504492   0.112155114317    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            181.17983603   6.34990180378     1199.0  833.0   0.142423683963    0.205001196965    
