analysis             sr                 o          b          db               s              ds                s95obs    s95exp    robscons           rexpcons           
atlas_1604_01306     SR1                264.0      295.0      34.0             0.6455233319   0.0426645829935   49.0      63.0      0.0117459880774    0.00913576850461   
atlas_1605_09318     SR-Gbb-A           0.0        1.3        0.4              2.301145e-05   0.00413894801466  2.9       3.9       0                  0                  
atlas_1605_09318     SR-Gbb-B           0.0        1.5        0.6              2.301145e-05   0.00413894801466  3.0       3.8       0                  0                  
atlas_1605_09318     SR-Gbb-C           5.0        7.6        1.7              0.00295131145  0.00413894801466  5.4       6.9       0                  0                  
atlas_1605_09318     SR-Gtt-0L-A        1.0        2.1        0.5              0.0            0.00413894801466  3.5       4.4       0                  0                  
atlas_1605_09318     SR-Gtt-0L-B        1.0        2.9        1.8              0.0            0.00413894801466  3.6       4.6       0                  0                  
atlas_1605_09318     SR-Gtt-0L-C        1.0        3.4        1.8              0.0            0.00413894801466  3.4       5.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-A        2.0        1.2        0.6              9.20458e-05    0.00413913991652  4.7       4.0       0                  0                  
atlas_1605_09318     SR-Gtt-1L-B        0.0        1.2        0.8              0.00011505725  0.00413920388183  2.9       3.5       0                  0                  
atlas_1609_01599     2muSS              9.0        5.5        1.6              0.0            0.00401352652656  10.4      7.4       0                  0                  
atlas_1609_01599     3lZ1b4j            7.0        11.0       2.8              0.0            0.00401352652656  6.0       8.7       0                  0                  
atlas_1609_01599     3lZ2b3j            4.0        2.8        0.5              0.0            0.00401352652656  6.3       5.1       0                  0                  
atlas_1609_01599     3lZ2b4j            8.0        7.2        0.9              0.0            0.00401352652656  7.9       6.9       0                  0                  
atlas_1609_01599     3lnoZ2b            10.0       7.7        2.2              4.46283e-05    0.00401358855648  10.2      8.3       0                  0                  
atlas_1609_01599     4lDF1b             2.0        1.1        0.1              0.0            0.00401352652656  4.7       3.9       0                  0                  
atlas_1609_01599     4lDF2b             0.9        1.0        0.1              0.0            0.00401352652656  3.0       3.0       0                  0                  
atlas_1609_01599     4lSF1b             1.0        1.1        0.1              2.231415e-05   0.00401352652656  3.6       4.0       0                  0                  
atlas_1609_01599     4lSF2b             1.0        0.9        0.1              0.0            0.00401352652656  3.6       3.0       0                  0                  
atlas_1704_03848     SRE1               1671.0     1900.0     140.0            3.1275050905   0.315335149708    150.0     236.0     0.0174023696332    0.0110608281567    
atlas_1704_03848     SRE2               493.0      501.0      44.0             1.995430423    0.252082499609    86.0      90.0      0.0183955246935    0.0175779458182    
atlas_1704_03848     SRI1               2400.0     2600.0     160.0            7.4396383625   0.486605265606    194.0     284.0     0.0342350810665    0.0233859356581    
atlas_1704_03848     SRI2               729.0      765.0      59.0             4.312133272    0.370605488187    96.0      116.0     0.0385868778268    0.0319339678567    
atlas_1704_03848     SRI3               236.0      273.0      37.0             2.316702849    0.271666783514    47.0      64.0      0.0398121132774    0.0292370206881    
atlas_1706_03731     Rpc2L0bH           3.0        2.4        1.0              0.0002517315   0.0452776028693   5.6       5.1       0                  0                  
atlas_1706_03731     Rpc2L0bS           7.0        6.0        1.8              0.000503463    0.0452783026442   8.3       7.3       0                  0                  
atlas_1706_03731     Rpc2L1bH           13.0       9.8        2.6              0.0            0.0452776028693   11.9      9.6       0                  0                  
atlas_1706_03731     Rpc2L1bS           14.0       9.8        2.9              0.0            0.0452776028693   13.5      9.9       0                  0                  
atlas_1706_03731     Rpc2L2bH           0.0        1.08       0.32             0.0            0.0452776028693   3.02      3.6       0                  0                  
