analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.4291760278  0.0272366991561   49.0    63.0    0.00784709879967   0.00610329906641  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00254274173638  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00246568863877  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             2.795730831   0.23356812988     96.0    116.0   0.0251320739375    0.0207989577414   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.027816088285    5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.027816088285    7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.118213779   0.0481584732671   76.0    57.0    0.000516235300553  0.00068831373407  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             1.87623562    0.191727847344    67.0    37.0    0.023310476871     0.0422108635231   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              1.084996627   0.14586249493     11.4    9.3     0.0741914153785    0.0909443156253   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.020195058   0.027817227758    2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              0.920000466   0.0317065950891   8.4     9.0     0.103333529768     0.0964446277838   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.266106574   0.0214925378912   44.0    40.0    0.0052467911786    0.00577147029646  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           0.107103563449    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              2.60783395    0.118314881239    14.1    14.4    0.171191315232     0.167624829498    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.107103563449    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.014541825   0.107164971448    2.928   2.927   0                  0                 
atlas_1911_12606     E-high-mm-10     9.0      11.0     2.0              1.591399955   0.347061986781    7.0     8.0     0.14603118524      0.127777287085    
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.62171528    0.214360671043    15.2    9.9     0.0177739328612    0.0272892706555   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.076609955   0.107103563449    66.0    57.0    0                  0                 
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             1.757652235   0.363081590964    46.0    31.0    0.02526518317      0.0374902718006   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.107103563449    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.107103563449    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0008480973  0.00246942310814  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             4.46367e-05   0.00246578964474  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.008561859   0.0102092132936   7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.378064225   0.0546840333566   20.0    19.0    0.0144191205148    0.0151780215945   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0102480306438   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.033208259   0.0103968236627   11.1    10.3    0.00145562776515   0.00156868623234  
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              0.6349650535  0.0127765507541   11.9    13.0    0.0515976059045    0.0472316546356   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            43.370788339  0.921878903319    1520.0  722.0   0.0275387545642    0.0579763253983   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.0614881486527   2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.107103563449    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0    22.0             4.260227645   0.566851575645    85.0    58.0    0.0391834242464    0.0574239838094   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            74.726663735  2.37553722909     1199.0  833.0   0.0590748813005    0.0850309515958   
