analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             2.3272948853   0.439141800106  49.0    63.0    0.0327980067985    0.0255095608433    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.121033348769  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0831888803   0.117365956602  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            26.252561775   4.95407770802   194.0   284.0   0.0934426512054    0.0638305434291    
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              5.697979763    2.29326166842   8.0     9.0     0.242128828349     0.215225625199     
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.3240327247    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.002536785    1.32403294342   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             4.6931278895   2.09349924377   86.0    67.0    0.0146487108107    0.0188028228317    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             86.1811625935  8.97995647175   59.0    66.0    1.21108532169      1.08263687848      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0012683925   1.32403282191   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0      2.8      0.4              33.2859378185  5.53884521168   5.1     5.0     4.74553562183      4.84044633427      
atlas_1807_07447     3m1j             18.0     21.8     2.5              9.170928972    0.873132110567  8.8     11.1    0.879430944394     0.697206514475     
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            5.0980808924    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0     56.0     6.0              0.184608585    5.09809848381   17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.020512065    5.09808276383   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.04493119     5.09808510312   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             357.114574775  35.8682987514   96.0    73.0    3.10719338357      4.08617212086      
atlas_2004_10894     Cat9             71.0     69.0     4.0              3.605696765    5.0980808924    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00390706     5.09808117312   66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             14.459262365   7.20961021867   68.0    54.0    0.0387573765645    0.0488055853035    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.02539589     5.09808323169   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.000976765    5.0980808924    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0022261833   0.117366150477  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.5000477498   0.203280821359  3717.0  3549.0  4.48391721205e-05  4.69617364812e-05  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0108526275   0.484135132949  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              2.692685556    1.01553849      20.0    19.0    0.0513601216198    0.0540632859156    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.48780186512   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              31.0794702925  3.27227147057   11.1    10.3    2.31648153881      2.49640243503      
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             176.098822877  7.78194137894   17.7    24.6    9.22804740201      6.63969264291      
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            44.0620744475  6.41841963812   582.0   410.0   0.0576217633006    0.0817947957097    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00112153     2.92681053743   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.01758177     5.09808248312   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            25.27082707    9.53744781127   317.0   216.0   0.0303766960868    0.0445806141644    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            144.408071535  22.7991031506   1199.0  833.0   0.0892556650275    0.128472439818     
