analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             2.878609448    0.718388899151  49.0     63.0     0.0347030949672  0.0269912960856  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              2.326965e-05   0.261896469985  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.1797713225   0.253959906664  6.0      8.7      0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            34.495207648   8.35347670247   194.0    284.0    0.107193329154   0.0732236121688  
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              6.154083132    3.50941512953   8.0      9.0      0.0498302899462  0.0442935910632  
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.86498838921   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             4.05113278     3.50834722261   76.0     57.0     0                0                
atlas_1712_02332     6j-1200          250.0     249.0     30.0             0.001781892    2.86498845707   62.0     64.0     0                0                
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             212.775316644  20.7598035603   59.0     66.0     3.02930913229    2.70801876977    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00127278     2.86498843445   2.97     2.9      0                0                
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              26.704457648   7.30355468378   5.1      5.0      2.8875741111     2.94532559332    
atlas_1807_07447     3m1j             18.0      21.8      2.5              11.3609933724  1.42979096409   8.8      11.1     1.02456093082    0.812264521733   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            11.0313619472   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.26267886     11.0313735733   17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.030384495    11.0313632535   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.034305075    11.0313634277   2.928    2.927    0                0                
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             530.65093045   64.3259251154   96.0     73.0     4.42871263813    5.82406045563    
atlas_2004_10894     Cat9             71.0      69.0      4.0              7.79876029     11.0313619908   21.0     19.0     0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             15.59556029    13.5085542384   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             39.04402783    17.4373526674   68.0     54.0     0.153628962581   0.19345869362    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.022543335    11.0313629052   10.4     11.1     0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            11.0313619472   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.001895418    0.253959985857  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             9.0258e-05     0.253959905662  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.747675123    1.04758266313   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.820074631    2.19698122482   20.0     19.0     0.110851271115   0.116685548542   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.05551961917   6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              21.672708576   4.01948866927   11.1     10.3     1.35862587013    1.46415020955    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             113.314403976  9.17168442237   17.7     24.6     5.55213793917    3.99483095623    
atlas_conf_2017_060  IM3              76808.0   73000.0   1900.0           338.563875556  26.1791453727   6874.0   3767.0   0.0430069940566  0.0784789161521  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            6.33313185713   2.87     2.94     0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.01176174     11.0313624262   21.0     18.0     0                0                
atlas_conf_2019_040  MB-C-2-1600-16   908.0     890.0     50.0             23.40338087    13.5085543806   123.0    113.0    0.0101573307788  0.0110562096087  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           2411.73047199  137.117053385   20140.0  13460.0  0.108582845305   0.162470914148   
