analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.95376768815  0.841700923     49.0    63.0    0.0525179219271   0.04084727261    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.261790769     2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              6.765855e-05   0.253857385114  6.0     8.7     0                 0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            42.5730805495  9.27627384753   194.0   284.0   0.141030883709    0.0963379980266  
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              12.213102635   4.96209045232   8.0     9.0     0.509409286649    0.452808254799   
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.86382885764   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.000508849    2.86382886894   76.0    57.0    0                 0                
atlas_1712_02332     4j-1000           135.0     120.0     11.0             6.0752721225   3.50682603917   43.0    31.0    0.00753668414556  0.0104541102664  
atlas_1712_08119     SRI-MLL-30        40.0      38.0      6.0              121.510251188  15.6861200199   19.0    18.0    5.04131654502     5.32138968641    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0017809715   2.86382892545   2.97    2.9     0                 0                
atlas_1803_02762     S-3l-slep-a       4.0       2.2       0.8              14.327453153   5.35815156663   6.8     5.1     0.814718321136    1.08629109485    
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              6.69624481585  1.0950878039    6.1     7.3     0.803328002861    0.671274084582   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.0269430062   5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.26352316     11.0269546685   17.0    19.0    0                 0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.01861316     11.0269437895   6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.03232812     11.0269443987   2.928   2.927   0                 0                
atlas_1911_12606     E-inc-40          492.0     420.0     30.0             826.53719848   80.2773567025   131.0   74.0    5.3044452938      9.39030180389    
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.00293892     11.0269430932   21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00097964     11.0269430062   66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             54.66243768    20.6375056903   68.0    54.0    0.306131299235    0.38549867311    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.024491       11.0269440506   10.4    11.1    0                 0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.0269430062   13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.1806248539   0.253857436206  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.253857383111  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.7474601655   1.04716194952   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              9.142839016    2.75390265569   20.0    19.0    0.231321933033    0.243496771614   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.05509540104   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              3.746665035    1.66843386071   11.1    10.3    0.0910300453539   0.0981003401387  
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             20.0436213305  3.80420851179   17.7    24.6    0.779927648088    0.561167454112   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            127.673174905  16.0744446183   1520.0  722.0   0.0666520300865   0.14032006334    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            6.33057593983   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.00685748     11.0269432673   21.0    18.0    0                 0                
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             31.19281856    15.5944524124   141.0   120.0   0.0398433801674   0.0468159716967  
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           655.1379654    71.4563055308   3986.0  2400.0  0.134959765261    0.224145676804   
