analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons        rexpcons        
atlas_1604_01306     SR1              264.0     295.0     34.0             13.1594270784  1.52912216058   49.0    63.0    0.217380953777  0.16907407516   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.259226447943  2.9     3.9     0               0               
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              9.2544e-06     0.25137084381   6.0     8.7     0               0               
atlas_1704_03848     SRI2             729.0     765.0     59.0             72.231146157   12.0323145106   96.0    116.0   0.546855732912  0.45257026172   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0            2.83577794995   5.6     5.1     0               0               
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.83577794995   7.22    6.137   0               0               
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             2.006429401    2.83577794995   76.0    57.0    0               0               
atlas_1712_02332     3j-1300          405.0     378.0     28.0             20.054835649   6.3402791694    86.0    67.0    0.112288114083  0.144131012107  
atlas_1712_08119     SRI-MLL-60       52.0      43.0      7.0              6.019601406    4.0115229835    27.0    20.0    0               0               
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.001357213    2.83577797301   2.97    2.9     0               0               
atlas_1803_02762     S-3l-WZ-1Ja      1.0       2.2       0.5              0.0            2.83577794995   3.5     4.5     0               0               
atlas_1807_07447     MET1j            18952.0   18500.0   3200.0           810.976789647  12.024457002    5551.0  5525.0  0.142543087761  0.143213878763  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            10.9189325234   5.8     5.4     0               0               
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.0856233375   10.9189340922   17.0    19.0    0               0               
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            10.9189325234   6.5     5.9     0               0               
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.012059625    10.918932738    2.928   2.927   0               0               
atlas_1911_12606     VBF-inc-40       82.0      74.0      10.0             0.0            10.9189325234   33.0    26.0    0               0               
atlas_2004_10894     Cat9             71.0      69.0      4.0              0.0020099375   10.918932553    21.0    19.0    0               0               
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            10.9189325234   66.0    57.0    0               0               
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             7.7284159      10.9189325752   38.0    29.0    0               0               
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.000803975    10.9189325308   10.4    11.1    0               0               
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            10.9189325234   13.0    11.5    0               0               
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0002683776   0.25137084858   20.0    10.2    0               0               
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             9.2544e-06     0.25137084381   115.0   101.0   0               0               
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.00545893205  1.03690518405   7.2     7.3     0               0               
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.00038521395  1.1625933409    5.0     5.6     0               0               
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.04476104335   6.34    3.17    0               0               
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.00088466165  1.04476105893   6.3     6.1     0               0               
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              0.37944292075  1.04476802734   8.3     9.1     0               0               
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            292.79746337   24.2288974921   582.0   410.0   0.434814555813  0.617224564593  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.000230781    6.26856625213   2.87    2.94    0               0               
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0004019875   10.9189325234   21.0    18.0    0               0               
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            131.285331175  31.8349403019   317.0   216.0   0.249451195836  0.366092727222  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           2918.61499114  150.106029721   3986.0  2400.0  0.67045687466   1.113517126     
