analysis             sr                o         b         db               s              ds               s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             1.2942372012   0.192691644435   49.0     63.0     0.0199637327413    0.0155273476877    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.0418915697836  2.9      3.9      0                  0                  
atlas_1609_01599     3lnoZ2b           10.0      7.7       2.2              0.08715159705  0.0497367299283  10.2     8.3      0.000547388232112  0.000672693971994  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            13.9491647775  2.12476972424    194.0    284.0    0.0539409403595    0.0368469803864    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              1.0004501375   0.561094368014   8.0      9.0      0.0100319217445    0.00891726377292   
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.458268682297   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.3256925265   0.458268824019   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.5454699425   1.21246531519    86.0     67.0     0.0297328700651    0.0381645794865    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             37.280282737   3.47491189051    59.0     66.0     0.535278427738     0.478506473281     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.001040405    0.458268788589   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-a       4.0       2.2       0.8              3.9252632965   1.12252610977    6.8      5.1      0.306517717128     0.408690289504     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              1.839922905    0.228727376687   6.1      7.3      0.240132788071     0.200658905101     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0004006      1.76452564714    5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.0448672      1.76453069475    17.0     19.0     0                  0                  
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0044066      1.76452610188    6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.0208312      1.76452796631    2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             99.8915418     11.1613668932    96.0     73.0     0.849863542657     1.11762876843      
atlas_2004_10894     Cat12             22.0      16.6      1.7              5.0090004      2.79148662138    15.2     9.9      0.0283527855882    0.0435315495899    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             1.2520498      1.76452596546    66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             16.2467162     4.50025331629    68.0     54.0     0.130386775901     0.164190754839     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0036054      1.76452601093    10.4     11.1     0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            1.76452564714    13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00096835725  0.0406222446419  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.1738545471   0.0703810652587  3717.0   3549.0   1.57195588043e-05  1.64636799312e-05  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.1253788384   0.167567140434   7.2      7.3      0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.33049723095  0.420106492191   20.0     19.0     0.0320761291879    0.0337643465135    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.168835606989   6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              11.831184932   1.18796230045    11.1     10.3     0.890353762096     0.959507452356     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             30.8695020208  1.91381120067    17.7     24.6     1.56671478258      1.12727039235      
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           105.725819428  5.85114317755    3032.0   2741.0   0.0317051268525    0.0350711217135    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00091994     1.01301230604    2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0016024      1.76452578356    21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             11.2423944     3.74426189661    141.0    120.0    0.0361830134012    0.0425150407464    
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1015.533941    35.577574217     20140.0  13460.0  0.0475266494183    0.0711134263955    
