analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             7.56666174045  0.784058843255  49.0    63.0    0.128179698725    0.0996953212303   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.11856914798   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              9.23565e-06    0.114975982755  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            82.602081257   8.70081310157   194.0   284.0   0.35223065861     0.240608266797    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            1.29707146587   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.29707146587   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0003125685   1.29707147424   76.0    57.0    0                 0                 
atlas_1712_02332     2j-1200           582.0    517.0    31.0             14.6826733905  3.66965453057   128.0   77.0    0.0676909371904   0.112525194291    
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.0001041895   1.29707146587   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.000625137    1.2970714868    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             2.66933499     1.29717866672   61.0    48.0    0.00888462256677  0.0112908745119   
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           504.142253888  6.41167867728   5551.0  5525.0  0.0889257973081   0.0893442716484   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            4.99426980348   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.099490904    4.99427378325   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            4.99426980348   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.010831671    4.9942702224    2.928   2.927   0                 0                 
atlas_1911_12606     VBF-inc-40        82.0     74.0     10.0             0.0            4.99426980348   33.0    26.0    0                 0                 
atlas_2004_10894     Cat12             22.0     16.6     1.7              10.611869882   6.11889452057   15.2    9.9     0.0379528202807   0.0582709967946   
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            4.99426980348   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             3.530899384    4.99426991627   38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.000802346    4.99426981959   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            4.99426980348   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0003324834   0.114975995738  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             9.23565e-06    0.114975982755  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.005371677    0.474276099028  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.1300671624   0.651507833576  20.0    19.0    0.00307971576676  0.00324180607027  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.477868696106  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0006141696   0.477868719231  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             1.1770087792   0.477888824035  17.7    24.6    0.0222187066544   0.0159866303977   
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            421.962625025  19.6695053572   1520.0  722.0   0.256384629105    0.539757113905    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.000460627    2.8672136001    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.000401173    4.99426980348   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             67.113142844   15.3942429129   116.0   119.0   0.360918831611    0.351820037537    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            872.296875858  55.4941210497   1199.0  833.0   0.651615110372    0.937918988399    
