analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             1.7150685733   0.196412778191   49.0    63.0    0.0284275840218  0.022110343128    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              9.5021e-06     0.0328604993435  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              1.84283e-05    0.0318647526137  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0     765.0     59.0             9.676861566    1.56679373377    96.0    116.0   0.0740345816939  0.0612699986433   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.000311841    0.359474132904   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.359474102847   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.254680341    0.359474132904   76.0    57.0    0                0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             5.345687002    1.16502804283    86.0    67.0    0.039942337346   0.0512692688321   
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              30.759242857   2.79600263983    20.0    17.0    1.30868992638    1.53963520751     
atlas_1802_03158     SRaaWH           1.0       2.05      0.640078120232   0.769965631    0.440159851186   3.53    4.4     0.0136270467577  0.010932607967    
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              1.33260054     0.359666706328   8.4     9.0     0.0884222787645  0.0825274601802   
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             2.9851600733   0.259684946938   18.0    20.0    0.14218204224    0.127963838016    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            1.38412658072    5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             2.61596864     1.38450469358    29.0    32.0    0.0119096876735  0.0107931544541   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00280168     1.38412692792    6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.01240744     1.38412831674    2.928   2.927   0                0                 
atlas_1911_12606     E-high-mm-20     23.0      17.8      2.7              40.13202716    6.26700880782    15.7    11.2    1.90153711562    2.66554756385     
atlas_2004_10894     Cat12            22.0      16.6      1.7              14.69958748    3.79004543764    15.2    9.9     0.558152168571   0.85696090528     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.97982524     1.38412658072    66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             14.70719036    3.79076868216    68.0    54.0    0.124857790018   0.157228328171    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00440264     1.38412715939    10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            1.38412658072    13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00065420465  0.0318648445355  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             2.764245e-05   0.0318647539459  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.0973429576   0.131442618347   7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              3.54663862055  0.607666407561   20.0    19.0    0.127503285608   0.13421398485     
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.132437604015   6.34    3.17    0                0                 
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.0006893343   0.132437698143   6.3     6.1     0                0                 
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             0.34522581585  0.13247397702    17.7    24.6    0.0072298583919  0.00520197128198  
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            76.819671253   4.41689428855    1520.0  722.0   0.0457736609341  0.0963656019665   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.000229778    0.794629160126   2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00040024     1.38412658072    21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            20.57733988    4.48493089635    317.0   216.0   0.0417099470347  0.0612132093055   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           412.2226162    20.0830951533    3986.0  2400.0  0.095154626229   0.158035975062    
