analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             3.29987381305  0.278440669045   49.0    63.0    0.0580251248126   0.045130652632   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0343278985023  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0332876719258  6.0     8.7     0                 0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             20.742918633   2.34451836446    96.0    116.0   0.176019880368    0.145671625132   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.375526641871   5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.375526641871   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.5315928225   0.375526699215   76.0    57.0    0                 0                
atlas_1712_02332     3j-1300          405.0    378.0    28.0             7.444646812    1.40581014223    86.0    67.0    0.059757188125    0.0767032563992  
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.0            0.375526641871   27.0    20.0    0                 0                
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0007263515   0.375526727887   2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              1.993523574    0.375801949123   8.4     9.0     0.163953378266    0.153023153049   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           227.183573306  2.31577659245    5551.0  5525.0  0.0402424247333   0.0404318008496  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.000399537    1.445933202      5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              3.821171868    1.44646097928    14.1    14.4    0.102764245531    0.100623323749   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            1.445933202      6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.010787499    1.44593463719    2.928   2.927   0                 0                
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            1.445933202      33.0    26.0    0                 0                
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            1.445933202      21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.000799074    1.4459332572     66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             5.114704907    2.2854040006     68.0    54.0    0.020097681559    0.0253081915928  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            1.445933202      10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            1.445933202      13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00043230365  0.0332877303814  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0332876719258  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.00686743865  0.137312466725   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.4367830278   0.243686091058   20.0    19.0    0.00185689192324  0.0019546230771  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.138352032338   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.00080281005  0.138352137971   6.3     6.1     0                 0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.47201408035  0.138417224508   8.3     9.1     0.0295192568865   0.02692415738    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            278.153506493  8.59299126172    1520.0  722.0   0.173724342647    0.365735458205   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.830109365604   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            1.445933202      21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            68.552310738   8.37139939249    317.0   216.0   0.172943898216    0.253811183955   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            566.65375443   24.0682304993    1199.0  833.0   0.439684617524    0.632871376244   
