analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             0.93218112125  0.0691903883698   49.0    63.0    0.016708344578   0.0129953791162  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              1.89174e-05    0.00752132998655  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              9.17205e-06    0.00729338798546  6.0     8.7     0                0                
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.657865235    0.621184326903    96.0    116.0   0.0587408639467  0.0486131287834  
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.0822786569701   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0822786569701   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.1166699175   0.0822787870956   76.0    57.0    0                0                
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.50510362     0.381520230267    67.0    37.0    0.0280509021248  0.0507948768206  
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              3.840909725    0.47265605449     11.4    9.3     0.268925771547   0.329650945767   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0003104175   0.0822787870956   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              1.6242078325   0.0832936223921   8.4     9.0     0.177095987116   0.165289587975   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.7158515575   0.0607730017114   44.0    40.0    0.0140041780612  0.0154045958673  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0003984115   0.316806363916    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              2.651030121    0.318468702345    11.0    15.0    0.193521949923   0.14191609661    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0003984115   0.316806363916    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.00796823     0.316811123733    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10     9.0      11.0     2.0              4.0340975575   0.950376801815    7.0     8.0     0.353639943218   0.309434950315   
atlas_2004_10894     Cat12            22.0     16.6     1.7              2.483319252    0.742988029512    15.2    9.9     0.0832117686579  0.127759483192   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.000796823    0.316806614435    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             5.388107845    1.09740532019     68.0    54.0    0.0527700458807  0.0664511688869  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0003984115   0.316806363916    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.316806363916    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00046777455  0.00729367634541  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             9.17205e-06    0.00729338798546  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.02653458025  0.0300885083166   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.7650378736   0.134926189425    20.0    19.0    0.0271879461472  0.0286188906812  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.03031312614     6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.0008386708   0.0303136295162   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.3050474428   0.0305043111498   8.3     9.1     0.0307253460861  0.0280242167598  
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            73.56684323    2.06763953678     1520.0  722.0   0.04616836473    0.0971965573264  
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.181878615405    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0003984115   0.316806363916    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            25.5658602165  2.39181522105     317.0   216.0   0.0682753414952  0.100200385435   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            141.698098362  5.63168174943     1199.0  833.0   0.110477181228   0.159018175621   
