analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.29265828165  0.027253124944    49.0    63.0    0.00506047258657   0.00393592312289   
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.0132227693   0.00588808220015  5.4     6.9     0.000660428609585  0.000516857172719  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              1.83351e-05    0.00361044128297  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             1.7368142135   0.223035672905    96.0    116.0   0.0142816219785    0.0118192733615    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.000413686    0.0407305643803   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0407301704725   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0           18.0     18.7     2.7              0.144337536    0.0643650518232   10.4    10.8    0.00372873567403   0.00359063435277   
atlas_1712_02332     3j-1300          405.0    378.0    28.0             3.2900237835   0.307471929332    86.0    67.0    0.0323926723186    0.0415786540208    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             9.973141041    0.535748905081    59.0    66.0    0.154144285367     0.13779564904      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0005171075   0.0407306956821   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              1.0262515445   0.0420127666885   8.4     9.0     0.113970310373     0.106372289681     
atlas_1807_07447     MET1g2j          38.0     43.0     10.0             0.4798702258   0.0350184306522   18.0    20.0    0.0234688888628    0.0211219999765    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.156828015528    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              1.69480304     0.158964662337    11.0    15.0    0.130372817615     0.0956067329179    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.001194645    0.156829026665    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.01274288     0.156843687425    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             13.578219445   1.2248882135      96.0    73.0    0.120514612238     0.158484969519     
atlas_2004_10894     Cat12            22.0     16.6     1.7              1.786443165    0.44353034697     15.2    9.9     0.0696745655243    0.106975090502     
atlas_2004_14060     SRD1             4.0      3.1      1.0              0.666355645    0.271551816753    6.4     5.7     0.0345329164882    0.0387738009692    
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             3.00139987     0.576242931248    46.0    31.0    0.0447035100598    0.066334240734     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.001991075    0.156830037796    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.156828015528    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0006600636   0.00361125592223  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             1.83351e-05    0.00361044128297  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0150970981   0.0148987913275   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.757498596    0.0944757433414   20.0    19.0    0.030127918846     0.0317135987853    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0150058504269   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.3475251434   0.0600291472913   11.1    10.3    0.022439400166     0.0241822661983    
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.1618979474   0.0152099581839   8.3     9.1     0.0165004356601    0.0150498479097    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            23.038516846   0.813566939302    1520.0  722.0   0.0142791230694    0.0300613117251    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0002286155   0.0900351730786   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.001194645    0.156829026665    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            10.672489975   1.08661986284     317.0   216.0   0.0280455312301    0.0411594138886    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            46.781139885   2.27534405152     1199.0  833.0   0.0359045668395    0.0516801628337    
