analysis             sr               o        b       db               s              ds                s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.7676990413   0.0464223668555   49.0    63.0    0.0141135991767   0.0109772438041    
atlas_1605_09318     SR-Gbb-C         5.0      7.6     1.7              0.01744946     0.00712371858002  5.4     6.9     0.00106788176459  0.000835733554895  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0            0.00398800089553  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             4.412269865    0.373719564247    96.0    116.0   0.0395767685379   0.0327531877555    
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0            0.0449896821661   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0            0.0449896821661   7.22    6.137   0                 0                  
atlas_1709_04183     SRA-TW           9.0      9.3     2.2              0.12723765     0.0636189096364   8.1     8.3     0.00282748619707  0.00275935399955   
atlas_1712_02332     2j-2100          180.0    143.0   13.0             2.5831105475   0.286313635159    67.0    37.0    0.031545614714    0.0571231401578    
atlas_1712_08119     SRI-MLL-05       4.0      3.1     1.2              0.1590802      0.0711429039512   6.5     5.5     0.00652397500307  0.00771015227636   
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.000206495    0.0449898006381   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              1.5250688225   0.0467067488123   8.4     9.0     0.17243687553     0.160941083828     
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.442572445    0.035331415136    44.0    40.0    0.00874156645857  0.00961572310442   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0            0.173228892692    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3    3.0              3.102452886    0.176752540311    14.1    14.4    0.199473668077    0.195317966659     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0            0.173228892692    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0075533835   0.173237103535    2.928   2.927   0                 0                  
atlas_1911_12606     E-inc-10         244.0    200.0   19.0             0.737377279    0.300060812322    83.0    49.0    0.00295515116617  0.00500566422024   
atlas_2004_10894     Cat10            29.0     26.3    2.2              0.367496       0.212174290288    14.7    12.4    0.00132858258011  0.00157501321997   
atlas_2004_14060     SRA-TW           8.0      5.6     0.7              0.36745        0.212147732223    8.5     6.7     0.0022973787241   0.00291458494848   
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             1.4735619185   0.424349511668    68.0    54.0    0.0114357164612   0.0144005318401    
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0            0.173228892692    10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0            0.173228892692    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.00050336825  0.00398856794885  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0            0.00398800089553  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.0050588484   0.0164562898153   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.1053064101   0.0368877920743   20.0    19.0    0.00224052155491  0.00235844374201   
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0            0.0165751572275   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7     2.0              0.0011031194   0.0165763793182   6.3     6.1     0                 0                  
atlas_conf_2016_096  2LCSF            9.0      10.2    3.3              0.398380519    0.0170130092979   8.3     9.1     0.0446360462351   0.0407119982144    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            38.38785089    1.1043043327      692.0   350.0   0.0528566355266   0.104505119384     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0            0.0994509433382   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0            0.173228892692    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            23.4231887085  1.69286088676     317.0   216.0   0.0651321667326   0.0955874854362    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            67.570010021   2.87529899494     594.0   381.0   0.105815689679    0.16497249257      
