analysis             sr               o       b       db               s              ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             0.8614951624   0.0487295703575   49.0    63.0    0.0159505850411   0.0124060105875   
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.0            0.00403638520232  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0            0.00391406953451  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0   765.0   59.0             5.421975579    0.410667566782    96.0    116.0   0.0494633413487   0.0409351790472   
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0            0.0441555811365   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0            0.0441555811365   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.156518984    0.069813255295    10.4    10.8    0.00404088897271  0.00389122641816  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             3.034426147    0.307503477618    67.0    37.0    0.0377629916971   0.0683816336137   
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.0            0.0441555811365   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.000103121    0.0441555811365   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0     9.8     2.9              1.56125194     0.0459423831866   8.4     9.0     0.176893622806    0.165100714619    
atlas_1807_07447     MET2j            6771.0  6770.0  1800.0           22.4576401774  0.249559745703    2712.0  2723.0  0.00812992706285  0.00809708490431  
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0            0.170017221938    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0    37.3    3.0              3.350375404    0.173884994918    14.1    14.4    0.217390355485    0.212861389745    
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0            0.170017221938    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.00992645     0.170028349039    2.928   2.927   0                 0                 
atlas_1911_12606     VBF-inc-40       82.0    74.0    10.0             0.0            0.170017221938    33.0    26.0    0                 0                 
atlas_2004_10894     Cat12            22.0    16.6    1.7              0.36664137     0.208247552678    15.2    9.9     0.0016523278689   0.00253690743508  
atlas_2004_14060     SRA-T0           11.0    17.3    1.7              0.482417232    0.24041581558     6.0     9.6     0.0146892157413   0.00918075983834  
atlas_2101_01629     2J_bveto_700     280.0   261.0   22.0             1.084387848    0.360669819367    68.0    54.0    0.00724837270937  0.00912758044884  
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0            0.170017221938    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0            0.170017221938    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.0004479041   0.00391458184376  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             9.1409e-06     0.00391406953451  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.00524116875  0.0161515945356   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass   3.0     3.8     1.2              0.0003804903   0.0181029793428   5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0            0.0162678493986   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0     4.7     2.0              0.0008738137   0.0162688253576   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0     10.2    3.3              0.4348823836   0.0167548965129   8.3     9.1     0.0490848618456   0.0447697091559   
atlas_conf_2017_060  IM7              2122.0  2017.0  90.0             25.292296204   0.888057064119    274.0   193.0   0.0869922723316   0.123501982481    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0            0.0976071670877   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0            0.170017221938    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            25.274380176   1.74212845456     317.0   216.0   0.0707170016105   0.103783747734    
atlas_conf_2020_048  IM08             3208.0  3140.0  120.0            53.087324766   2.52462679763     305.0   256.0   0.160481760059    0.191198971945    
