analysis             sr               o        b       db               s              ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             0.4661157845   0.0282803424385   49.0    63.0    0.00856604128369  0.00666247655398  
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0            0.00251960594578  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0            0.00244325543148  6.0     8.7     0                 0                 
atlas_1704_03848     SRI3             236.0    273.0   37.0             1.9395968595   0.19391312747     47.0    64.0    0.0345016878819   0.0253371770383   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0            0.0275629432126   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0            0.0275629432126   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0           18.0     18.7    2.7              0.097761981    0.0436284811183   10.4    10.8    0.00252031461212  0.00242696962648  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             2.1503974585   0.204473355162    67.0    37.0    0.0270904650154   0.0490557069198   
atlas_1712_08119     SRI-MLL-05       4.0      3.1     1.2              0.097761981    0.0436284811183   6.5     5.5     0.00403250337939  0.004765685812    
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0001031905   0.0275629432126   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              1.3071140635   0.0299096463375   8.4     9.0     0.149769314703    0.139784693723    
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.28919001595  0.0223297592616   44.0    40.0    0.00574020933548  0.00631423026902  
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0            0.10612880899     5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3    3.0              2.881411778    0.111391325901    14.1    14.4    0.19139929103     0.1874118058      
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0            0.10612880899     6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0091385095   0.106145170409    2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-10         244.0    200.0   19.0             0.376423653    0.167987513544    83.0    49.0    0.00121595338299  0.00205967613853  
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.379055265    0.167746743012    15.2    9.9     0.00683885568823  0.0105000612587   
atlas_2004_14060     SRA-T0           11.0     17.3    1.7              0.301243153    0.150225487606    6.0     9.6     0.00914555888771  0.00571597430482  
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             0.453714612    0.183934256097    68.0    54.0    0.00223621223532  0.00281597096299  
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0            0.10612880899     10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0            0.10612880899     13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.0002835601   0.00244376905345  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0            0.00244325543148  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.0055088282   0.0100886458288   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.07284461025  0.023986218898    20.0    19.0    0.00167536056286  0.00176353743459  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0            0.010154777839    6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7     2.0              0.0009884563   0.0101565568138   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2    3.3              0.37425299525  0.0108200170258   8.3     9.1     0.0429527912443   0.0391767216844   
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            28.917745143   0.750075224518    692.0   350.0   0.0400110141254   0.0791074907851   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0            0.0609286317441   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0            0.10612880899     21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            16.1593010695  1.10035439331     317.0   216.0   0.0452830279636   0.0664570364096   
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            50.7300103615  1.94968899618     594.0   381.0   0.0800210781275   0.124757271411    
