analysis             sr               o        b       db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.5401406476   0.0304391147824   49.0    63.0    0.0100044999869    0.00778127776757   
atlas_1605_09318     SR-Gbb-C         5.0      7.6     1.7              0.0089167792   0.00397928653732  5.4     6.9     0.000442731347925  0.000346485402724  
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0            0.00244099720066  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0   59.0             3.663005376    0.266291581039    96.0    116.0   0.0336071581572    0.0278128205439    
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0            0.0275375291307   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0            0.0275375291307   7.22    6.137   0                  0                  
atlas_1709_04183     SRA-T0           18.0     18.7    2.7              0.175431628    0.058408583837    10.4    10.8    0.00765784139493   0.00737421763956   
atlas_1712_02332     2j-2100          180.0    143.0   13.0             2.479042398    0.219458654008    67.0    37.0    0.0316288090362    0.0572737893359    
atlas_1712_08119     SRI-MLL-60       52.0     43.0    7.0              0.000103264    0.0275375291307   27.0    20.0    0                  0                  
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.000206528    0.0275377227468   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              1.305876544    0.0298856969571   8.4     9.0     0.149626666785     0.139651555666     
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.27990191     0.0219691565088   44.0    40.0    0.00554255666649   0.00609681233314   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0748925      0.106030763654    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3    3.0              3.0238126425   0.111555628982    14.1    14.4    0.201479532693     0.197282042428     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0            0.106030763654    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.0091449955   0.106047163453    2.928   2.927   0                  0                  
atlas_1911_12606     VBF-inc-40       82.0     74.0    10.0             0.0            0.106030763654    33.0    26.0    0                  0                  
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.0003976085   0.106030763654    21.0    19.0    0                  0                  
atlas_2004_14060     SRA-T0           11.0     17.3    1.7              0.449847       0.183649808979    6.0     9.6     0.0247768855457    0.0154855534661    
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             0.5273587595   0.198273790031    68.0    54.0    0.00297337858601   0.00374425451572   
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0            0.106030763654    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0003976085   0.106030763654    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.0003020688   0.00244154634652  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0            0.00244099720066  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.012262856    0.0100786888774   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.0647697413   0.0225860840145   20.0    19.0    0.00138642817581   0.0014593980798    
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0            0.0101453980543   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7     2.0              0.0012174256   0.0101476091126   6.3     6.1     0                  0                  
atlas_conf_2016_096  2LCSF            9.0      10.2    3.3              0.39655191925  0.0108508832944   8.3     9.1     0.0456333097165    0.041621590181     
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            31.659812992   0.78445381569     692.0   350.0   0.0438920646449    0.0867808820979    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0            0.0608723881715   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0            0.106030763654    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0   22.0             5.1104526465   0.618339189019    85.0    58.0    0.0481926632531    0.0706271789053    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            54.593550153   2.02155769874     594.0   381.0   0.0863269284967    0.134588439704     
