analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             1.1294975745   0.291163058427  49.0     63.0     0.0133059216057    0.0103490501378    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.109629940202  2.9      3.9      0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              3.6951e-05     0.106307950069  6.0      8.7      0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            11.895118149   3.17426081943   194.0    284.0    0.0344810845626    0.0235539802998    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              2.5738514095   1.46814633593   8.0      9.0      0.0207614273218    0.0184546020639    
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.19928606178   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             1.6978166295   1.19928613423   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             7.640831069    2.5436809156    86.0     67.0     0.0403394693885    0.0517790204091    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             50.889560171   6.56785598229   59.0     66.0     0.679970785763     0.607852672122     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.000833708    1.19928609348   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-a      4.0       2.2       0.8              5.130487984    2.07817842758   6.8      5.1      0.253275788642     0.337701051523     
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              2.8911768859   0.464733270249  6.1      7.3      0.349018741425     0.291645797629     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.000401265    4.61774756443   5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.043737885    4.61774944733   17.0     19.0     0                  0                  
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00561771     4.61774779108   6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.0240759      4.61774859305   2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             189.47481523   24.8696968817   96.0     73.0     1.54883867025      2.03682893622      
atlas_2004_10894     Cat9             71.0      69.0      4.0              6.530475       4.61774756443   21.0     19.0     0                  0                  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             3.27375265     4.61774772134   66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             13.075796805   6.53048166471   68.0     54.0     0.0347912775716    0.0438112384235    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.002808855    4.61774766904   10.4     11.1     0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.61774756443   13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0007944465   0.106307982981  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.45267955725  0.184130809466  3717.0   3549.0   4.05448021861e-05  4.24640827629e-05  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.3183572845   0.438520099237  7.2      7.3      0                  0                  
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.39326920365  0.695332240705  20.0     19.0     0.0126462164447    0.0133118067839    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.441842104237  6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              19.380924785   2.45996338693   11.1     10.3     1.38257520994      1.48995969227      
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             74.8414708932  4.82923622064   17.7     24.6     3.78087703341      2.72038713379      
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            67.933547095   7.58390739391   1355.0   1235.0   0.0409564125232    0.0449359829708    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.000921466    2.65105194932   2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00160506     4.61774761674   21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            19.61229078    7.99817389134   317.0    216.0    0.0204898599312    0.0300707666583    
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           1314.29080807  65.4701211148   20140.0  13460.0  0.0599265049375    0.089667147804     
